seccion;header;question;correct_answer;ans_type;extra
;Choose all the correct answers.;Which time expressions can go in gap 4 in the blog post?;in the future*from now on;listbox;
;Choose the correct answer.;Which expression doesn't belong?;up to now;listbox;
;Choose the correct answer.;Which sentence is more formal?;I'm going to wake up at 7:00 a.m. from now on.;listbox;
;;;;;
Listen and watch;Watch the video and choose the correct answer.;Who gives examples of the chores they have to do, but don't like doing?;Hasim, Seymour, and Katherine;;
;;Who talks about being active?;Hasim*Katherine;;
;Watch the video again and choose the correct answer.;What doesn't Seymour like doing?;being in the car for a long time;;
;Watch the video and choose the correct answer.;What do all three people like?;being with friends;;
;Watch the video again and choose the correct answer.;Who talks about going to a dinner with friends?;Katherine;;
;Watch the video and choose the correct answer.;Which place does Hasim not talk about?;the gym;;
;Watch the video and complete the sentences.; Uh, maybe we do a barbecue, and to have, uh,;enjoy*perfect;text_input;
;Watch the video and complete the sentence.;My idea of a perfect day;would*coffe;text_input;
;Watch the video and complete the sentence.;My idea of a perfect day is going walking in the mountains and then;meeting friends;text_input;
;Listen and choose all the correct answers.;First, let's look at an example. Listen to Tomas. Which questions does he answer?;Who would be with you on your perfect day?*What time of year would it be, and what would the weather be like?*What activities would you do?;listbox;
;;;;;
While you watch;Watch the video. Choose the correct numbers to put the the events in the order they happened.;Jeff talks about his YouTube channel.;3*1*4*2;dropdown;
;Watch part of the video again. Complete the sentences.;.;Robert*Carolina*Carolina*Jeff*Robert*Robert;dropdown;
;Choose the correct answers.;What does Jeff do during the day?;has an office job*YouTube channels*his friends*two thousand (2,000);listbox;
;Watch a different part of the video again. Choose True or False.;Robert has an idea to make a YouTube channel for the community center.;True*False*False*True*True*False;;
;Watch part of the video again. Choose the correct name for each set of information.;.;Jeff*Robert;;
;Watch another part of the video again. Choose the correct answer.;"Why does Carolina say ""small world""?";Jeff and Robert knew each other in the past and met unexpectedly in the present.;listbox;
;;;;;
After you watch;Choose the correct person.;First, answer this question. Who do you think would say these things?;Jeff*Carolina*Robert;buttons_sel;
;Listen. Complete the sentences. There are two extra options.;What is each person going to make a YouTube show about?;baking*yoga*car rapair;buttons_sel;
;Listen again. Complete the information.;He's been baking since he was;a kid*cakes*an oven*ten*beginner*clothes*four*fix*tools;buttons_sel;
;Tap Show to read more from Curtis. Then complete the sentences.;Curtis believes that baking is becoming;more*different*easier*decorating*guests;buttons_sel;
;;;;;
Vocabulary practice 1: College subjects;Look at the photo and choose the correct answer.;What is the person studying?;architecture;listbox;
;Complete the sentence.;In our;biology;dropdown;
;Listen and choose the correct answer.;What kind of class is it?;business;listbox;
;Look at the photo and complete the sentence.;I'm taking a course in;chemistry;dropdown;
;Complete the sentence.;Maya has a degree in;computer science;buttons_sel;
;Complete the sentence.   ;After three years of studying;economics;dropdown;
;Choose the correct answer.;What do you have to study if you want to be an elementary school teacher?;education;listbox;
;Complete the sentence.;He studied;engineering;dropdown;
;Complete the sentence;Vanessa studied;law;dropdown;
;Listen and choose the correct answer.;What did Amelia stop studying?;physics;listbox;
;Complete the sentence.;When you study;physics;dropdown;
;Complete the sentence.;course in;political science;dropdown;
;;;;;
Vocabulary practice 2: College subjects;Read what Aldo says. Then complete the sentence.;Aldo works in ;architecture;text_input;
;Choose the correct answer.;What is biology?;the study of living things, like trees and animals;listbox;
;Tap Show to read about computer science. Choose the correct answer.;Which sentence is not true about computer science?;It's a way of studying people.;listbox;
;Complete the sentence.;vocabulary list from this lesson again.;business;text_input;
;Complete the sentences.;You might learn how to teach geography if you study;education*medicine*political science*economics;buttons_sel;
;Tap Show to read about a lecture. Choose the correct answer.;Which subject is she describing?;engineering;listbox;
;Complete the sentence.;We looked at tiny animals in;biology*chemistry*computer science*medicine*physics*political science;listbox;
;;;;;
"Grammar practice 1: Modals of necessity: ""have to,"" ""need to,"" ""must""";Listen and choose all the correct answers.;What is necessary for the students to do?;Students have to study at least one foreign language.*Students need to study at least one foreign language.;listbox;
;Complete the conversation.;Either online or you can ask the driver. Remember, you;have to;dropdown;
;Complete the conversation. There are two extra words.;Another text from your girlfriend!;Does*need*to*text;buttons_sel;
;Complete the sentence.;College students must;decide;dropdown;
;Complete the conversation. ;Helen have to take a business course when she studies;Does*does;dropdown;
;Complete the question. There are two extra words.;so much time;Do*you*have*to*waste;buttons_sel;
;Complete the sentence.;Diego;needs to;dropdown;
;Complete the sentence. There are two extra words.;Library users;must*return;buttons_sel;
;Complete the sentence.;take a course in education;don't need to;dropdown;
;Complete the conversation. There are two extra words.;Hello, Julieta. ;Does*have*to;buttons_sel;
;;;;;
"Grammar practice 2: Modals of necessity: ""have to,"" ""need to,"" ""must""";Tap Show to read about Leon's day. Choose the correct answer.;Which statement is true?;He doesn't have to work today.;listbox;
;Complete the sentence.;before you leave the;What*do*you*need*to do;buttons_sel;
;Listen and choose all the correct answers.;What does the woman have to do?;make the family's breakfast*answer emails*take the children to school*get her children up;listbox;
;Choose the correct answer.;Which sentence uses incorrect grammar?;They don't have take an economics class this semester.;listbox;
;Complete the sentence.;Use a formal modal of necessity.;must;text_input;
;Put the words in the correct order. There's one extra word.;.;I*need*to fix*my*laptop.;buttons_sel;
;Listen. Then choose the correct answer.;Which question is the man answering?;Do I have to be good at math to get a degree in economics?;listbox;
;Complete the sentence so it has the opposite meaning.;Students need to take Math 101 for this degree.;don't have to take;text_input;
;;;;;
Vocabulary practice 1: Employment;Complete the words;many of the words you can remember.;apply*career*contract*employer*fire*hire*manage*profession*retirement*salary*wage*working hours;text_input;
;Complete the sentence;I'm going to;apply;dropdown;
;Choose the correct answer.;What can happen if you keep coming to work late?;A manager can fire you.;listbox;
;Complete the sentence.;Olivia is planning a;career;buttons_sel;
;Complete the conversation.;Don't worry! You're amazing.;hire;dropdown;
;Complete the sentence.;Michael has just signed a ;contract;dropdown;
;Complete the sentence.;because they're going to;hire;text_input;
;Complete the sentence.; go to our website and;apply;dropdown;
;Complete the sentence;When you get a new job, you should read your;;buttons_sel;
;Listen and complete the sentence;Ethan's sports;career;text_input;
;Complete the sentence.;I'm worried that my boss will;fire;dropdown;
;Complete the sentence. ;I have a great;employer;text_input;
;;;;;
Vocabulary practice 2: Employment;Choose the correct answers.;When does retirement happen?;at the end of your working life*a long period of time*Yes;listbox;
;Listen and complete the conversation.;Great, thanks. I'm enjoying my;retirement*career*salary*profession;buttons_sel;
;Complete the sentence.;I just signed a;contract;text_input;
;Complete the sentence. Use vocabulary from this unit.;Please don't be late for work. ;working hours;text_input;
;Read the sentence and choose the correct answer.;What's another way of saying this?;They fired me.;listbox;
;Listen and choose the correct answer.;Which is the best response?;Yes, that would be great. I'm definitely going to apply for it.;listbox;
;Complete the sentence.;Katya works for a large publishing company. They are a very good;employer;text_input;
;Read the sentence. Then choose the correct answer.;What does this sentence mean?;They need to hire three new people.;listbox;
;Complete the sentences.;40,000 a year is a yearly;salary*working hours*wage*retirement age;buttons_sel;
;Read the sentence. Then choose the correct answer.;What does this mean?;I organize and review the work of five people.;listbox;
;;;;;
"Grammar practice 1: Modals of prohibition and permission
";Complete the sentence.;Alexi;can't;listbox;
;Complete the conversation. There are two extra words.;;Can*I*check;buttons_sel;
;Complete the sentence.;You;can*stay;dropdown;
;Put the words in the correct order.;Dad,;could*go*to*the*concert;buttons_sel;
;Complete the conversation.;Look at this sentence in my contract:;must not;dropdown;
;Complete the conversation. There are two extra words.;I have a question.;May*come;buttons_sel;
;Listen and choose the correct answers.;What are the rules in Drew's class?;Drew can't use his phone in the class.*Drew must not use his phone in the class.;listbox;
;Complete the conversation. There are two extra words.;mine any time. Just let;can*use;buttons_sel;
;Complete the conversation.;Mom,;could;dropdown;
;Complete the sentences. There are two extra words.;nice apartment, but they;may*can't;buttons_sel;
;;;;;
Grammar practice 2: Modals of prohibition and permission;Complete the conversation.;I got an email from Bill saying that we;may*can*can't*can't*must not*can;dropdown;
;Choose all the correct answers.;Which three questions have the same meaning?;May I send you my résumé?*Could I send you my résumé?*Can I send you my résumé?;listbox;
;Put the words in the correct order to make a sentence.;.;Students*must*not*bring*food*or*drinks*to the*computer*room.;buttons_sel;
;Read the conversation. Notice the mistake in Kendra's response. Complete the sentence using correct grammar.;Yes, of course you could.;Yes, of course you can. ;text_input;
;Look at the photo. Complete the sentence.;Hey, look, Joe. We ;can't;text_input;
;Complete the sentence so it has a stronger meaning.;Danger! Employees;must not ;text_input;
;Put the modals in the correct category.;.;can*could*may*can't*must not;buttons_sel;
;;;;;
While you watch;Watch the video. Use the numbers to put the topics in the order you hear them.;how students spend their time in college;5*2*3*1*4;dropdown;
;Watch the video again. Complete the sentences according to the information in the video. ;Sometimes people go to college when they are;older*some*busy*write papers;dropdown;
;Watch the video again. Choose True or False.;College is usually the first time students can choose what and where to study.;True*False*True*True;dropdown;
;Watch part of the video. Complete the sentences according to the information in the video. There are two extra options.;Students who go to college in their hometown may choose to live with;family*save money*same time*part-time*on campus*pay for;buttons_sel;
;Tap Show to watch part of the video. Put the subjects in the correct categories.;.;marine biology*history*mechanical engineering*computer science*nursing*construction;buttons_sel;
;Watch another part of the video again. Choose all the correct answers.;What activities do college students usually do?;stay out late*study for exams*write papers*have a part-time job*do extra activities on campus*get an internship;listbox;
;;;;;
After you watch;Tap Show to read about three students. Then complete the sentences. There are two extra options.;James is studying;nursing*general education*English;buttons_sel;
;Tap Show to read again. Complete the sentences.;goes to a two-year college.;James*Ramón*James*Ava*Ramón*Ava;dropdown;
;Listen and choose the correct answers.;How long will Eliza be studying at college in total?;4 years*marine biology*work for a non-profit organization;;
;Listen again. Choose True or False.;Eliza always knew what she wanted to study. ;True*False*False*True*True*False*True;dropdown;
;;;;;
Functional language practice;Complete the sentences.;You express confidence when you think you;will*not certain;dropdown;
;Read the conversation. Then complete the sentences.;expresses confidence;Miriam*Juan-Carlos;buttons_sel;
;Complete the conversation.;Oh, I'm not sure I'd be;good*bother;dropdown;
;Listen to a conversation and choose all the expressions you hear.;.;I'm not sure I can handle that.*It won't be a problem.*That concerns me a little.;listbox;
;Listen and complete the conversation.;My boss wants me to lead a new team. I'm not;sure*handle*problem*concerns;text_input;
;Complete the expressions.;That;concerns*bother*sure*handle;text_input;
;Put the words in the correct order to complete the response. There are three extra options.;Oh, well,;it*doesn't*bother;buttons_sel;
;Choose the correct option for each expression.;I think I can handle that;confidence*lack of confidence*lack of confidence*confidence*lack of confidence*confidence;;
;;;;;
Real-world strategy;Listen to a conversation between Robin and Tim. Choose the correct answers.;What does Robin (the woman) want Tim (the man) to do?;go mountain biking with her*No, he doesn't.;listbox;
;Listen again. Choose the correct answer.;What reason does Tim give for not wanting to go mountain biking?;He fell off his bike when he was young and hurt his arm.;listbox;
;Listen to another conversation. Complete the sentence.;No, I don't think so, sorry.;The *thing *is;text_input;
;Complete the conversation.;Thanks for inviting me, but I'm not sure;The *thing *is;text_input;
;Complete the expressions.;remember the expressions?;handle*that*bother*problem*sure*enough*concerns*thing;text_input;
;;;;;
Reading skills;Tap Show to read an example of a text. Then complete the sentence.;come from a company?;job ad;buttons_sel;
;Then complete the sentence.;This is part of a;résumé;dropdown;
;Tap Show to read the job ad again. Then choose the correct answers.;What kind of person does the employer want to hire?;someone who's reliable and intelligent*9:00 to 5:00 weekdays and two evenings a week;listbox;
;Choose all the correct answers.;What does Jacob mention in his professional profile?;his education*his work experience*his skills*his personal qualities;listbox;
;;;;;
Reading practice;Then put the sections in order.;they appear.;experience*education*skills*activities;buttons_sel;
; Choose all the correct answers.;Where has Jacob worked?;in a coffee bar*in a high school;listbox;
;hoose the correct answer.;Which sentence is not true?;He studied business in college.;listbox;
;;;;;
Writing skill presentation: Planning and organizing a résumé;Complete the sentences.;to read part of Jacob's résumé again;has been*teacher's assistant*present*past;dropdown;
;Read the information. Then complete the sentences.;can speak three languages fluently;a skill*an activity*a skill*an activity;dropdown;
;Choose all the correct answers.;What did Jacob include in his résumé?;"He used present verbs to describe a current job and past verbs to describe a past job.*He used bullet points and incomplete sentences.*He listed his degrees or certificates.
He listed skills that are useful for jobs.*He listed activities and interests that show he's active, creative, or good with people.";listbox;
;;;;;
Writing skill practice;Read the tip. Then choose Past or Current.;Trained co-workers on computer-based design ;Past*Current*Past*Current;dropdown;
;should appear in a résumé.;Albany, NY;4*3*1*2;dropdown;
;Read the tip. Choose all the correct answers.;as a web designer at a global company.;Experienced in computer program design*Excellent writing skills*Fluent in English and Portuguese*Cheerful and hard-working;listbox;
;Read the tip. Choose all the correct answers.;activities and interests would you include?;Member, Albany Basketball Team*Volunteer, Help for Seniors*Member, Community Environment Project*Team Leader, City Parks Walking Group;listbox;
;;;;;
Vocabulary review;Put the words in the correct categories.;learned words about employment.;architecture*computer science*economics*engineering*medicine*career*employer*profession*retirement*salary;buttons_sel;
;Listen and complete the paragraph.;My aunt Jenny has had a very interesting;career*architecture*medicine*profession*salary*working hours*computer science*retirement;text_input;
;Complete the conversation;That new restaurant in town;hired*employer*applied;buttons_sel;
;Tap Show to read some sentences. Match the sentences. ;I like learning about nature and living things.;Sentence B*Sentence A*Sentence C;dropdown;
;Complete the sentences.;is the study of how companies work.;Business*Economics*Law;text_input;
;Complete the paragraph.;I started my; career*working hours*business*contract*managing*salary;buttons_sel;
;Complete the sentence.;If you want to be a teacher, you could study;education;text_input;
;Complete the words.;how to spell them?;physics*chemistry*biology;text_input;
;;;;;
Grammar review;Complete the information. ;;;;
;Complete the conversation.;You look sick, Masha. You;don't have to*May*can*can*must not;dropdown;
;Complete the conversation.;I borrow your camera?;could*can*must;buttons_sel;
;Listen and choose the correct answers.;How many rules do the man and woman talk about?;five*three;listbox;
;Listen again and complete the wedding rules.;be late.;must not*may*need to*have to*can't;text_input;
;Complete the sentence;during the exam.;must not talk;text_input;
;Complete the conversation.;So, tell me about your new diet, Andreas. What;can*must not*have*must not*don't need to*can;dropdown;
;Choose the correct answer.;Which sentence uses modals correctly?;You may miss this lesson if you want.;listbox;
;Complete the sentence.;bigger bicycle.;has to buy;text_input;
;;;;;
Functional language review;Choose all the correct answers.;Which sentences express lack of confidence?;I don't think I'm strong enough.*That concerns me a little.*I'm not sure I can handle that.;listbox;
;Listen and choose the correct answers.;How does Robert respond to Filip's request?;He expresses lack of confidence.*He doesn't like speaking in front of people.*They'll present the project together.;listbox;
;Listen to the conversation again. Use the numbers to put the expressions in the order you hear them.;I think I can handle that.;4*2*3*1;dropdown;
;Put the words in the correct order.;I'd love to go on vacation with you, but I don't think I can.;The*thing*is*I can't*afford*to travel*right now;buttons_sel;
;Complete the conversation.;I think I can ;handle*concerns*little;text_input;
;Read the sentence. Then choose all the correct answers.;Which words can complete this sentence?;brave*experienced*good;listbox;
;;;;;
Reading and writing skills review;Recognize text types: Tap Show to read the text. Then complete the sentence.;The text is part of a;résumé;buttons_sel;
;Choose the correct heading.;Postgraduate Certificate in Computer Networks (Online), Boston University;Education;dropdown;
;Choose the correct heading.;Painting and making ;Activities;buttons_sel;
;Then choose the correct answer.;What job would probably be good for Naomi?;Software Designer;listbox;
;Then complete the sentence.;Naomi has worked for 18 months as an;assistant*computer store;dropdown;
;Then complete the sentence.;Naomi is a member of a ;running;dropdown;
;Then choose the correct answer.;Which sentence is true?;Naomi took an online course.;listbox;
;Then choose the correct answer.;Has Naomi done these things?;yes, all of them;listbox;
;Read the tips and complete the sentences.;shows that she has;language skills*degrees or certificates*creative*skills for job*active*good with people;buttons_sel;
;;;;;
Listen and watch;Watch the video and choose the correct answer.;What's Demetrius's dream job?;to be the head of a country;listbox;
;Watch the video and choose all the correct answers.;According to Demetrius, what do you need to do to be the President of the US?;tell the truth*speak well in public;listbox;
;Watch the video again and choose the correct answer.;Which of these qualities does Demetrius not talk about?;that people believe you are successful;listbox;
;Watch the video and choose the correct answer.;As a doctor, what part of the body does Marwa want to specialize in?;the brain;listbox;
;Watch the video and choose the correct answer.;What does this mean?;careful;listbox;
;Watch the video and complete the sentence.; My dream job is to;become;text_input;
;Watch the video and complete the sentence.;My dream job is to be a;doctor*in;text_input;
;Watch the video and complete the sentence.;need to be reliable, you need to be;intelligent*speaker;text_input;
;Listen and complete the sentences.;;;;
;Listen again and choose all the correct answers.;Which sentences are true?;He chose to study medicine after a doctor visited his school.*Now he works on treatments for sick people.;listbox;
;;;;;
Vocabulary practice 1: Describing materials;Choose all the correct answers.;Which materials are artificial (not natural)?;glass*plastic*polyester;listbox;
;Complete the sentence.;from a type of cotton.;leather;buttons_sel;
;Complete the sentence.;We want to reduce the number of;plastic;buttons_sel;
;Look at the photo and complete the sentence.;Many ancient monuments were made of;stone;dropdown;
;Complete the sentence.;furniture out of;wood;buttons_sel;
;Choose the correct answer.;What are warm winter clothes usually made of?;wool;listbox;
;Complete the sentence.;My new running shirt is made of ;polyester;dropdown;
;Complete the sentence.;They look very realistic but they're;artificial;dropdown;
;Complete the sentence.;You need special tools to cut metal;hard;dropdown;
;Listen and choose the correct answer.;What problem does Layla have with her school bag?;It's too light.;listbox;
;Choose the correct answer.;How can you describe materials like cotton or wool?;They're soft.;listbox;
;Complete the sentence.;These boxes are very;strong;dropdown;
;Complete the sentence.;I have a great pair of ;waterproof;dropdown;
;Review the words. Complete the sentences.;;Stone*wood*metal*waterproof*glass*plastic;text_input;
;;;;;
Vocabulary practice 2: Describing materials;Complete the conversation.;very comfortable and;light*polyester;text_input;
;Complete the sentences.;We should try to recycle;plastic*wood*artificial;text_input;
;Complete the sentence.;her clothes and shoes are;waterproof;text_input;
;Complete the sentences. There are two extra words.;I need to move some very;heavy*light*natural*fragile*waterproof;buttons_sel;
;Put the things in the correct categories.;Which items are usually made of these materials?;belt*gloves*shirt*shoes*socks*sweater*drinking bottle*grocery bag*vase*key*monument*table*sculpture;buttons_sel;
;Complete the sentence.;This carton of eggs is;light*heavy;dropdown;
;Complete the sentences.;markets a lot because they have mostly;natural*artificial;dropdown;
;Listen and choose the correct answer.;What material is the man describing?;leather;listbox;
;Listen and complete the sentences.;is a really amazing material;Plastic*soft*strong;text_input;
;Complete the sentence.;and it's completely natural, so I guess it's ;earth-friendly;buttons_sel;
;;;;;
Grammar practice 1: Simple present passive;Choose the correct answer.;Which sentence uses the simple present passive?;Every morning, the museum is cleaned.;listbox;
;Put the words in the correct order to make a sentence with active grammar. There are two extra options.;This museum is visited by thousands of people;Thousands of people*visit*the*museum*every year.;buttons_sel;
;Complete the sentence.;This type of coffee is;grown;dropdown;
;Complete the sentence. There are two extra words.;A lot of plastic bags ;are*recycled;buttons_sel;
;Complete the sentence.;Houses in this area;are built;dropdown;
;Put the words in the correct order.;Ian, ;is*baseball*played*in*South Korea;buttons_sel;
;Complete the sentence.;Her T-shirts and sweatshirts;are*sold;dropdown;
;Complete the sentence. There are two extra options.;Some sports equipment ;isn't*kept;buttons_sel;
;Complete the sentences.;every day. It's;isn't cooked*prepared;dropdown;
;Complete the sentence. There are two extra words.;Art museums ;are*visited*by;buttons_sel;
;Complete the conversation.;I think they;are produced;dropdown;
;Complete the sentence. There are two extra words.;;are*driven*by;buttons_sel;
;;;;;
Grammar practice 2: Simple present passive;Choose all the correct answers. ;Which sentences use the simple present passive?;The sculptures are exhibited in the city park.*The sculptures are described on labels around the park.*Many of the sculptures are photographed every day.;listbox;
;Then complete the sentence so it has the same meaning. Use the simple present passive.;Thousands of photos of the Statue of;are taken;text_input;
;Read the examples. Then complete the sentences.;These sentences mean ;the same thing*The second;dropdown;
